Species,Longitude,Latitude
BM,75.48316667,12.42538889
BM,75.49161111,12.41908333
BM,75.50208333,12.41875
BM,75.50211111,12.42297222
BM,75.49752778,12.42002778
BM,75.49963889,12.40922222
BM,75.48394444,12.42891667
BM,75.48044444,12.43086111
BM,75.47466667,12.43316667
BM,75.46088889,12.43616667
BM,75.46208333,12.43816667
BM,75.45280556,12.44366667
BM,75.45083333,12.44294444
BM,75.48627778,12.35955556
BM,75.46763889,12.32833333
BM,75.47213889,12.33047222
BM,75.45808333,12.32230556
BM,75.44394444,12.31825
BM,75.43802778,12.31394444
BM,75.47894444,12.29566667
BM,75.46258333,12.29819444
BM,75.48775,12.29325
BM,75.541812,12.460867
BM,75.539346,12.460652
BM,75.538145,12.454275
BM,75.535167,12.466744
BM,75.55028,12.455711
BM,75.552766,12.437467
BM,75.5333,12.486997
BM,75.601982,12.472638
BM,75.588851,12.477356
BM,75.588727,12.484767
BM,75.58484,12.495174
BM,75.574218,12.498472
BM,75.581615,12.508381
BM,75.578605,12.519482
BM,75.438705,12.516911
BM,75.640736,12.514954
BM,75.44861111,12.43722222
BM,75.4775,12.51055556
BM,75.4775,12.51055556
BM,75.4775,12.51055556
BM,75.64722222,12.40416667
BM,75.63916667,12.40583333
BM,75.52138889,12.46111111
BM,75.68083333,12.61416667
BM,75.43694444,12.63222222
BM,75.64277778,12.67666667
BM,75.37194444,12.43444444
BM,75.4125,12.38194444
BM,75.41138889,12.39472222
BM,75.42972222,12.38722222
BM,75.63527778,12.52222222
BM,75.64861111,12.50777778
BM,75.63944444,12.53222222
BM,75.64305556,12.54388889
BM,75.65,12.53611111
BM,75.65194444,12.53666667
BM,75.655,12.53527778
BM,75.66944444,12.55194444
BM,75.69027778,12.56694444
BM,75.68027778,12.57194444
BM,75.68166667,12.57583333
BM,75.67805556,12.57611111
BM,75.68055556,12.57138889
BM,75.65777778,12.69666667
BM,75.66,12.6725
BM,75.64833333,12.67222222
BM,75.66083333,12.67444444
BM,75.64166667,12.66972222
BM,75.64388889,12.63944444
BM,75.65027778,12.6275
BM,75.65222222,12.62583333
BM,75.65305556,12.62527778
BM,75.67222222,12.63666667
BM,75.67277778,12.63888889
BM,75.67527778,12.64416667
BM,75.65027778,12.63444444
BM,75.65333333,12.64083333
BM,75.72305556,12.61805556
BM,75.64194444,12.65805556
BM,75.64166667,12.60694444
BM,75.67888889,12.61138889
BM,76.03405833,11.93576944
BM,76.01908333,11.93463889
BM,75.96844722,11.95229167
BM,75.96900278,11.95263333
BM,75.93866667,11.98594444
BM,75.89275,11.99011111
BM,75.80147222,12.05225833
BM,75.88441111,12.06691667
BM,75.88444444,12.06694722
BM,75.95065833,11.98410833
BM,75.96775833,11.95218056
BM,75.71806389,12.06776667
BM,75.70253611,12.06783611
BM,75.71705278,12.067225
BM,75.70059722,12.10136111
BM,75.63445,12.13435278
BM,75.63353056,12.15070556
BM,75.61830556,12.15087222
BM,75.41864444,12.317625
BM,75.43597778,12.31733889
BM,75.45045278,12.31728333
BM,75.45141389,12.31760556
BM,75.45155278,12.31755556
BM,75.50263333,12.28417778
BM,75.51885556,12.21868889
BM,75.78341944,12.10023611
BM,75.75224444,12.08339167
BM,75.78568333,12.11731389
BM,75.78479167,12.11850556
