Species,Longitude,Latitude
HL,75.48513889,12.39019444
HL,75.49325,12.41847222
HL,75.46147222,12.32222222
HL,75.46822222,12.32483333
HL,75.46216667,12.30288889
HL,75.521,12.30411111
HL,75.581615,12.508381
HL,75.435,12.49083333
HL,75.48611111,12.42083333
HL,75.5775,12.32916667
HL,75.6225,12.49805556
HL,75.41333333,12.38694444
HL,75.40833333,12.39166667
HL,75.42666667,12.38916667
HL,75.45222222,12.38805556
HL,75.37138889,12.41722222
HL,75.65277778,12.52694444
HL,75.64861111,12.67111111
HL,75.475773,12.329548
HL,75.495599,12.419486
HL,75.443829,12.443708
HL,75.86680833,11.97894444
HL,75.76881111,12.11680833
HL,75.76903333,12.11738889
HL,75.76776389,12.11898333
HL,75.76718333,12.11884167
HL,75.76700556,12.11894167
HL,75.70075833,12.1182
HL,75.66869167,12.08601667
HL,75.41859167,12.30189722
HL,75.43335,12.30193056
HL,75.51835278,12.23521944
HL,75.51760556,12.233875
HL,75.76702222,12.10032778
HL,75.78335,12.08349722
HL,75.78525556,12.10019167
HL,75.80083056,12.06845833
HL,75.81703889,12.06778056
HL,75.81770833,12.0839
HL,75.78403889,12.11816389
HL,75.7848,12.11748889
HL,75.78596111,12.11869444
HL,75.78478611,12.11850833
